category,tier,name,file,sourceUrl,note
"盟约图标","","炎","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\炎.png","https://media.prts.wiki/thumb/c/c6/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_yanShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_yanShip.png?v=t1af6ve0tez042z7yuo2rqyp5nbv3om",""
"盟约图标","","萨尔贡","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\萨尔贡.png","https://media.prts.wiki/thumb/b/ba/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_sargonShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_sargonShip.png?v=gkl9qx55afu75mf767oozjdzlcq7yev",""
"盟约图标","","维多利亚","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\维多利亚.png","https://media.prts.wiki/thumb/e/e7/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_victoriaShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_victoriaShip.png?v=6g35s9u120do8gfyy1zvp6a6mmfnz95",""
"盟约图标","","谢拉格","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\谢拉格.png","https://media.prts.wiki/thumb/b/b0/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_kjeragShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_kjeragShip.png?v=32zhx1vixzynpv8214k8rb5wmw43jfp",""
"盟约图标","","拉特兰","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\拉特兰.png","https://media.prts.wiki/thumb/f/fb/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_lateranoShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_lateranoShip.png?v=l1fn820t7gg8dg66ylbbgcfulpovwvn",""
"盟约图标","","阿戈尔","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\阿戈尔.png","https://media.prts.wiki/thumb/e/e5/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_egirShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_egirShip.png?v=shsfz2urd6axwr11xn9k6gsyx79u5q9",""
"盟约图标","","叙拉古","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\叙拉古.png","https://media.prts.wiki/thumb/b/b6/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_siracusaShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_siracusaShip.png?v=9dvczcdlsng6co3qxe3wikqz2e9zphf",""
"盟约图标","","卡西米尔","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\卡西米尔.png","https://media.prts.wiki/thumb/0/0d/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_kazimierzShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_kazimierzShip.png?v=nal1awxjztsqpmn7y7yn5xzo8kemrrz",""
"盟约图标","","精准","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\精准.png","https://media.prts.wiki/thumb/b/bc/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_preciShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_preciShip.png?v=sbh4sx0uuqb1xvmlct4lc7x502hb0y8",""
"盟约图标","","迅捷","D:\大黄算法？？？\卫戍协议图片素材包\盟约图标\迅捷.png","https://media.prts.wiki/thumb/d/da/%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_swiftShip.png/80px-%E5%8D%AB%E6%88%8D%E5%8D%8F%E8%AE%AE%EF%BC%9A%E7%9B%9F%E7%BA%A6_icon_swiftShip.png?v=0jnba1r6879mrxln032ka14zwn13lk3",""
